,f1,f2,f3,f4,class
0,0.9820304019592105,0.2459847227819927,0.575897171359756,0.42691982632868936,1.0
1,1.1536921832364808,0.10448465877923835,0.5950410299589307,0.4611802556060027,1.0
2,0.888385589451542,0.10844272250644946,0.5989073758369697,0.2794400994555997,1.0
3,0.7312979573954488,0.14761253836913996,0.5866042412492897,0.4062103076149053,1.0
4,0.7539774787013296,0.1470663346164613,0.5931919758751718,0.37610572067546855,1.0
5,0.6779076694443832,0.18853619461271523,0.579802232814067,0.3487973075219234,1.0
6,0.8008949154624028,0.24886851019806072,0.572132806558648,0.42058342575587326,1.0
7,1.0062975545945108,0.10095407330676333,0.5926881241604152,0.39884124598199433,1.0
8,1.0120998588204804,0.040319270210510585,0.5983855281472873,,1.0
9,1.1042838518176903,0.09719693248124782,0.5952191886922643,0.3967543206908288,1.0
10,0.5945171957280156,0.10011908873424688,0.5941628105844875,0.29837651489669187,1.0
11,0.6412760474472847,0.11456552483233319,0.596184016580784,0.39772403050022004,1.0
12,0.7926565061979145,0.1714630633051579,0.5861828898414132,0.35490338216679146,1.0
13,0.7992008236289786,0.13503891895300746,0.5911631612552491,0.3715572959438959,1.0
14,0.7367753179627619,0.12578933761620772,0.5929671941544461,0.4072712764291063,1.0
15,0.7865822551753009,0.21634689924188533,0.5760369241010178,0.3375620393550915,1.0
16,0.6693596788689095,0.07231343032652827,0.6061988002945542,0.3580386953108285,1.0
17,0.6751717136437069,0.14106874170669845,0.5826391739037138,0.38198266264856706,1.0
18,0.527362834859425,0.1603897314746187,0.5806697337909671,0.3177936804583466,1.0
19,0.9483291882507161,0.15292796573524214,0.5878010047918601,0.504232685241151,1.0
20,0.795947256528197,0.14143196222266216,0.5892910699270488,0.7974913390452324,1.0
21,0.9182750426556359,0.11786202164302524,0.5985153136827088,0.2921416099454647,1.0
22,0.6853767426721618,0.11468005639445601,0.587947300431054,0.3866420482917358,1.0
23,0.683004606089746,0.2060111009001345,0.576744167967458,,1.0
24,0.8032158763076612,0.1485614349038755,0.5815180191070602,0.4059176163629073,1.0
25,0.8326016409058475,0.27257325751526645,0.5708126973910848,,1.0
26,1.0173982815385558,0.2555126235147147,0.5739311464706539,0.4327199937235306,1.0
27,0.6642724055601873,0.14654366517001385,0.5866513619088015,0.31645867703108604,1.0
